id,rooms,area,rent,norm_rent,latitude,longitude
5273101,2,62,11700,188.71,55.622082,12.573736
5220336,3,95,14600,153.68,55.637796,12.581832
5243014,3,66,12950,196.21,55.618372,12.573111
5234625,2,108,17000,157.41,55.672118,12.59208
5266716,3,105,15995,152.33,55.660133,12.560764
5163222,4,95,17000,178.95,55.697442,12.538697
5258836,3,87,13700,157.47,55.649703,12.550492
5242937,4,115,16770,145.83,55.652386,12.511991
5271988,3,74,12000,162.16,55.71046,12.484442
5242850,2,83,12600,151.81,55.682748,12.455784
5212120,4,125,15800,126.4,55.625388,12.57149
5188888,1,35,6650,190.0,55.695252,12.523573
5074399,4,101,13752,136.16,55.626185,12.576225
5248001,1,37,6900,186.49,55.703754,12.537448
5273986,1,41,10200,248.78,55.688463,12.494303
5273925,1,29,7300,251.72,55.688463,12.494303
5266726,1,45,8000,177.78,55.655898,12.503485
5273943,2,32,11050,345.31,55.681189,12.518624
4559159,2,68,12000,176.47,55.681249,12.578823
5242803,3,86,13200,153.49,55.634696,12.579943
5112376,3,90,13240,147.11,55.621584,12.57341
5270952,2,108,18500,171.3,55.673172,12.590052
5247696,2,63,12782,202.89,55.649051,12.535273
5158077,4,122,20500,168.03,55.703983,12.596326
5249763,1,8,4500,562.5,55.718899,12.492832
5239216,3,60,11700,195.0,55.727596,12.479145
5112511,4,90,14200,157.78,55.635957,12.577198
5077231,2,70,10900,155.71,55.683682,12.458612
5239388,2,66,13200,200.0,55.637664,12.580775
5242865,4,106,14900,140.57,55.682748,12.455784
5266704,4,117,15200,129.91,55.640331,12.582975
5246692,1,64,11500,179.69,55.689953,12.562738
5227993,4,108,16500,152.78,55.619409,12.567984
5179172,3,90,13950,155.0,55.653859,12.503733
5242851,4,103,14850,144.17,55.682748,12.455784
5247624,4,102,16600,162.75,55.659681,12.512877
5183552,3,119,17900,150.42,55.677985,12.574255
5118156,4,110,17250,156.82,55.65141,12.541841
4856927,3,107,17495,163.5,55.678128,12.573445
5211186,1,51,8575,168.14,55.649554,12.551497
5171425,4,111,17200,154.95,55.653134,12.548116
5194070,1,29,6150,212.07,55.727285,12.479933
5179338,5,192,31090,161.93,55.734451,12.573912
5195416,4,112,14800,132.14,55.638359,12.58366
5243685,3,152,25000,164.47,55.699216,12.593541
4933797,5,126,16379,129.99,55.621352,12.572437
5248586,1,37,6900,186.49,55.703754,12.537448
5269024,1,28,7900,282.14,55.663553,12.591
5248002,1,49,8000,163.27,55.703754,12.537448
5242860,2,74,12400,167.57,55.682748,12.455784
5242840,2,76,12350,162.5,55.682748,12.455784
5242871,3,87,13100,150.57,55.682748,12.455784
5081664,2,67,11050,164.93,55.671176,12.472884
