id, rooms, area, rent, street, zip_code, latitude, longitude
5237968,4,87,11900,Gyngemose Parkvej,2860,55.72670060000001,12.4797398
5247695,4,95,16016,Faste Batteri Vej,2300,55.6644927,12.5914391
5242796,4,97,13500,Gyngemose Parkvej,2860,55.7273179,12.474743
5017590,1,28,8300,Njalsgade,2300,55.6635534,12.5909995
5179622,1,49,8950,Nordens Plads,2000,55.6710648,12.5013937
5179340,3,65,13118,Njalsgade,2300,55.6630951,12.5935843
5193032,1,37,8584,Svend Trøsts Vej,1912,55.67942499999998,12.5514368
5117845,2,115,18820,Islands Brygge,2300,55.6618119,12.5696679
5241113,3,93,15500,Margretheholmsvej,1432,55.6856974,12.6156874
5185816,1,43,7939,Frederikssundsvej,2400,55.7012191,12.5357119
5242937,4,115,16770,Poppelstykket,2450,55.652386,12.5119906
5241713,2,76,13170,Islands Brygge,2300,55.6618119,12.5696679
5107678,4,114,15900,Lone Kellermanns Vej,2450,55.6456252,12.5482628
5208360,1,36,10070,Njalsgade,2300,55.6635534,12.5909995
5247695,4,95,16016,Faste Batteri Vej,2300,55.6644927,12.5914391
5246766,3,89,13936,Faste Batteri Vej,2300,55.6644927,12.5914391
5242795,4,102,13950,Gyngemose Parkvej,2860,55.7273179,12.474743
5242876,3,103,17300,Marmorvej,2100,55.7034782,12.5941395
5242796,4,97,13500,Gyngemose Parkvej,2860,55.7273179,12.474743
5251674,3,91,11317,Skanderupvej,2610,55.6789376,12.4502053
5206512,5,125,16000,Amager Strandvej,2300,55.65837879999999,12.6316497
5211191,4,101,17500,Griffenfeldsgade,2200,55.6895574,12.5554382
5242878,3,78,14200,Dieselvej,2450,55.6513193,12.5553205
5243014,3,66,12950,Robert Jacobsens Vej,2300,55.6183723,12.5731109
5185814,1,35,7904,Svend Trøsts Vej,1912,55.67942499999998,12.5514368
5224886,2,110,19800,Sankt Peders stræde,1453,55.6792122,12.5692459
5241113,3,93,15500,Margretheholmsvej,1432,55.6856974,12.6156874
4956083,2,63,11050,Else Alfelts Vej,2300,55.6174184,12.5663495
5101208,3,134,19000,Drosselvej,2000,55.6917007,12.5246777
5211191,4,101,17500,Griffenfeldsgade,2200,55.6895574,12.5554382
5245187,1,180,19800,Nørregade,1165,55.6806586,12.5711746
5249770,1,45,9500,Azaleavej,2000,55.6712639,12.5146373
5259282,1,38,8600,Strynøgade,2100,55.7120772,12.5752951
5086692,3,91,12750,Kaffevej,2610,55.6764212,12.436609
5239390,3,91,14000,Emma Gads Vej,2300,55.6378427,12.580475
5136252,3,85,16950,Applebys Plads,1411,55.671032,12.585607
5143981,4,86,15995,Falkevej,2400,55.69874799999998,12.53532
5179636,1,37,7800,Peder Lykkes Vej,2300,55.65372190000001,12.6031793
4956190,5,195,24200,Robert Jacobsens Vej,2300,55.62042820000001,12.5727968
4992910,1,14,7000,Doris Lessingsvej,2300,55.6371,12.5750122
4857750,4,151,29500,Vendersgade,1363,55.68517490000001,12.5652686
5242878,3,78,14200,Dieselvej,2450,55.6513193,12.5553205
5150806,4,130,14500,Digtergangen,2860,55.7384392,12.507797
4857750,4,151,29500,Vendersgade,1363,55.68517490000001,12.5652686
5249727,1,7,3500,ja,2200,55.6928897,12.547805
5258838,2,71,11525,Irmavej,2610,55.6770177,12.4355482
5190072,2,79,13800,Alliancevej,2450,55.648375,12.5530654
5241135,2,43,10250,Poppelstykket,2450,55.6515557,12.5119233
5086698,6,169,21900,Østerbrogade,2100,55.7003765,12.5778582
5107624,4,142,25150,Frederiksholms Kanal,1220,55.6757545,12.5751119
5248809,4,111,14617,Kaffevej,2610,55.6761685,12.4362988
5237966,4,118,15000,Islev Have,2610,55.70582719999999,12.4338754
5126148,2,43,9800,Rødovre Port,2610,55.66509569999998,12.4561535
5194094,2,77,12200,Clara Pontoppidans Vej,2500,55.65814169999999,12.5118759
3728880,2,70,13000,Bordeauxgade,2150,55.7066719,12.5957758
5110046,2,63,10950,Børge Olsens Plads,2610,55.67117589999999,12.4728844
5246675,3,87,11500,Gyngemose Parkvej,2860,55.7245297,12.4744643
5249770,1,45,9500,Azaleavej,2000,55.6712639,12.5146373
5242802,3,87,13200,C.F. Møllers Allé,2300,55.6345925,12.579425
5126148,2,43,9800,Rødovre Port,2610,55.66509569999998,12.4561535
5242795,4,102,13950,Gyngemose Parkvej,2860,55.7273179,12.474743
