Sagsnr,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude
1770007928177009,2022-09-05,1,33.0,10050,609.0,"Dybbølsbro 3, 24. 14, 1577 København V",1577,55.66363639,12.56009277
1770007935177009,2022-05-03,1,33.0,10150,615.0,"Dybbølsbro 3, 22. 14, 1577 København V",1577,55.65571596,12.51155621
1770007939177009,2022-04-08,2,53.0,12550,474.0,"Dybbølsbro 3, 9. 1, 1577 København V",1577,55.65571596,12.51155621
1770007962177009,2022-08-22,1,33.0,9850,597.0,"Dybbølsbro 3, 24. 15, 1577 København V",1577,55.66364244,12.5601035
1770008015177009,2022-04-12,1,33.0,9850,597.0,"Dybbølsbro 3, 21. 12, 1577 København V",1577,55.65571596,12.51155621
1770008132177009,2022-08-22,1,33.0,9350,567.0,"Dybbølsbro 3, 19. 15, 1577 København V",1577,55.66364547,12.56012495
1770008134177009,2022-05-19,1,33.0,9650,585.0,"Dybbølsbro 3, 21. 7, 1577 København V",1577,55.66365455,12.56009277
1770008083177009,2022-05-19,1,33.0,9850,597.0,"Dybbølsbro 3, 20. 10, 1577 København V",1577,55.66365152,12.56014105
1770008099177009,2022-04-12,1,33.0,9750,591.0,"Dybbølsbro 3, 22. 11, 1577 København V",1577,55.66365479,12.56018228
1770008123177009,2022-04-28,2,53.0,13000,491.0,"Dybbølsbro 3, 12. 15, 1577 København V",1577,55.66365479,12.56018228
1770007978177009,2022-08-22,2,53.0,14600,551.0,"Dybbølsbro 3, 24. 1, 1577 København V",1577,55.66364547,12.56010886
10-X00016993426001,2022-10-15,3,89.0,12400,418.0,"Richard Mortensens Vej 40, 3. 1, 2300 København S",2300,55.62070049,12.57084377
10-X00017323426001,2022-10-15,3,81.0,12500,463.0,"Else Alfelts Vej 37, 3. 2, 2300 København S",2300,55.62078032,12.56938804
10-X00017933426001,2022-10-15,2,54.0,10200,567.0,"Richard Mortensens Vej 42, 1. 2, 2300 København S",2300,55.62057061,12.57080827
1770008382177009,2022-05-19,1,35.0,7400,629.0,"Ved Amagerbanen 31A, st. 4, 2300 København S",2300,55.66603984,12.62730781
1770007991177009,2022-04-08,1,29.0,7500,776.0,"Poul Bundgaards Vej 5, 2. 60, 2500 Valby",2500,55.65926836,12.51011501
1770008384177009,2022-05-19,1,47.0,8000,511.0,"Ved Amagerbanen 31A, 1. 1, 2300 København S",2300,55.66603984,12.62730781
1770008387177009,2022-04-25,1,45.0,7900,527.0,"Ved Amagerbanen 31A, 2. 3, 2300 København S",2300,55.66603984,12.62730781
1770008388177009,2022-04-25,1,35.0,7400,634.0,"Ved Amagerbanen 31B, 2. 2, 2300 København S",2300,55.66603984,12.62730781
1770008389177009,2022-05-19,3,86.0,13600,474.0,"Ved Amagerbanen 31C, 2. 1, 2300 København S",2300,55.66603984,12.62730781
1770008394177009,2022-04-27,4,117.0,16000,410.0,"Margretheholmsvej 64, 3., 1432 København K",1432,55.68610553,12.61582379
1770008381177009,2022-05-19,2,53.0,11200,634.0,"Ved Amagerbanen 31B, 4. 3, 2300 København S",2300,55.66603984,12.62730781
1770008054177009,2022-04-11,1,25.0,7600,912.0,"Finsensvej 15, 4. 425, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008056177009,2023-01-23,2,32.0,10300,966.0,"Finsensvej 15, 3. 319, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008234177009,2022-04-11,1,29.0,7950,822.0,"Finsensvej 15, 5. 520, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008204177009,2022-04-11,1,26.0,7650,883.0,"Finsensvej 15, 4. 406, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770007641177009,2022-09-07,1,25.0,7550,906.0,"Finsensvej 15, 3. 336, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770007932177009,2022-09-05,1,33.0,8050,488.0,"Dybbølsbro 3, 7. 3, 1577 København V",1577,55.65571596,12.51155621
1770008082177009,2022-05-30,1,33.0,8450,512.0,"Dybbølsbro 3, 10. 8, 1577 København V",1577,55.66363366,12.56010391
1770008225177009,2022-04-25,1,35.0,7500,643.0,"Poppelstykket 6, 1. 116, 2450 København SV",2450,55.6512869,12.51149568
1770008010177009,2023-02-28,1,33.0,8150,494.0,"Dybbølsbro 3, 12. 5, 1577 København V",1577,55.65571596,12.51155621
1770008021177009,2022-05-30,1,33.0,8450,512.0,"Dybbølsbro 3, 14. 2, 1577 København V",1577,55.66364008,12.56013046
1770008095177009,2023-02-28,1,33.0,8350,506.0,"Dybbølsbro 3, 14. 7, 1577 København V",1577,55.66365479,12.56018228
1770008023177009,2022-05-03,1,33.0,8450,512.0,"Dybbølsbro 3, 14. 11, 1577 København V",1577,55.65571596,12.51155621
1770008410177009,2022-05-19,3,83.0,13000,470.0,"Ved Amagerbanen 31E, 1. 1, 2300 København S",2300,55.66603984,12.62730781
1770008412177009,2022-04-13,1,29.0,7400,766.0,"Gl. Køge Landevej 40, 3. 304, 2500 Valby",2500,55.65571596,12.51155621
1770008411177009,2022-04-25,1,35.0,7500,643.0,"Ved Amagerbanen 31B, 3. 2, 2300 København S",2300,55.66603984,12.62730781
1770008414177009,2022-07-13,1,31.0,7500,726.0,"Gl. Køge Landevej 40, 4. 437, 2500 Valby",2500,55.65571596,12.51155621
1770008415177009,2022-07-13,1,34.0,7200,635.0,"Gl. Køge Landevej 40, 4. 440, 2500 Valby",2500,55.65571596,12.51155621
1770008413177009,2022-04-25,2,53.0,11200,634.0,"Ved Amagerbanen 31A, 3. 3, 2300 København S",2300,55.66603984,12.62730781
1770008419177009,2022-04-25,1,35.0,7500,643.0,"Ved Amagerbanen 31A, 4. 2, 2300 København S",2300,55.66603984,12.62730781
1770008417177009,2022-07-07,1,29.0,7000,724.0,"Gl. Køge Landevej 40, 1. 113, 2500 Valby",2500,55.65571596,12.51155621
1770008421177009,2022-07-13,1,31.0,6800,658.0,"Poul Reichardts Vej 2A, st. 3, 2500 Valby",2500,55.65571596,12.51155621
1770008423177009,2022-04-12,1,32.0,7300,684.0,"Gl. Køge Landevej 40, 1. 218, 2500 Valby",2500,55.65571596,12.51155621
1770008422177009,2022-05-19,2,55.0,11200,611.0,"Ved Amagerbanen 31E, 3. 3, 2300 København S",2300,55.66603984,12.62730781
1770008190177009,2022-04-20,3,84.0,13500,482.0,"Halldór Laxness Vej 25, 3. tv, 2300 København S",2300,55.63732693,12.58110163
1770008194177009,2022-05-30,2,56.0,11900,638.0,"Halldór Laxness Vej 25, 3. th, 2300 København S",2300,55.63732693,12.58110163
1770008196177009,2022-05-30,2,54.0,11400,633.0,"Halldór Laxness Vej 23, st. th, 2300 København S",2300,55.63732693,12.58110163
1770008426177009,2022-05-09,1,45.0,7900,527.0,"Ved Amagerbanen 31A, 4. 6, 2300 København S",2300,55.66603984,12.62730781
1770008430177009,2022-04-25,1,35.0,7400,634.0,"Ved Amagerbanen 31B, 2. 6, 2300 København S",2300,55.66603984,12.62730781
1770008436177009,2022-05-11,3,86.0,13500,471.0,"Ved Amagerbanen 31C, 1. 1, 2300 København S",2300,55.66603984,12.62730781
1770008438177009,2022-05-19,1,54.0,10500,583.0,"Ved Amagerbanen 37C, 3. tv, 2300 København S",2300,55.66546337,12.62724058
1770008395177009,2022-05-02,1,34.0,8500,750.0,"Amerikavej 19A, 2. 200, 1756 København V",1756,55.66899705,12.54217717
1770008396177009,2022-04-20,1,31.0,8600,832.0,"Amerikavej 19A, 2. 211, 1756 København V",1756,55.66899705,12.54217717
1770008398177009,2022-04-20,1,41.0,8800,644.0,"Amerikavej 19C, 2. 229, 1756 København V",1756,55.66899705,12.54217717
10-X00017393426001,2022-11-15,3,80.0,12000,450.0,"Else Alfelts Vej 35, 1. 3, 2300 København S",2300,55.62087245,12.56942312
1770008400177009,2022-04-26,2,36.0,10600,883.0,"Amerikavej 19C, 3. 310, 1756 København V",1756,55.66899705,12.54217717
1770008401177009,2022-05-19,1,31.0,8700,842.0,"Amerikavej 19A, 3. 311, 1756 København V",1756,55.66899705,12.54217717
