rooms ,area ,rent  ,street                        ,zip_code ,latitude          ,longitude
4,129,19400,Strandslodsvej,2300,55.6645926,12.6226752
2,66,12900,Nordre Frihavnsgade,2100,55.7010242,12.5805371
2,80,12826,Poul Reichhardts Vej,2500,55.65638680000001,12.509244
3,161,21000,Vesterbrogade,1620,55.6726718,12.5584782
1,25,7500,Vesterfællevej,1750,55.6669765,12.5394927
2,168,24000,Amagerbrogade,2300,55.665249,12.5994277
1,31,7800,C.F. Richs Vej,2000,55.68671,12.5039269
1,32,6350,Gyngemose Parkvej,2860,55.7272197,12.4792895
3,169,17000,A. F. Beyers Vej,2720,55.6907575,12.5106755
2,51,10200,Gadelandet,2700,55.7104602,12.4844416
3,122,15800,Amagerbrogade,2300,55.6644419,12.6010825
4,102,17195,Falkevej,2400,55.69874799999998,12.53532
4,97,13300,Gyngemose Parkvej,2860,55.7273179,12.474743
3,81,17000,Solitudevej,2200,55.68995839999998,12.5545876
3,108,20200,Bordeauxgade,2150,55.7065907,12.5953517
3,99,16500,Belvederekaj,2450,55.6561779,12.5524752
3,81,17000,Solitudevej,2200,55.68995839999998,12.5545876
1,40,8200,Peder Lykkes Vej,2300,55.65372190000001,12.6031793
4,165,35000,Herluf Trolles Gade,1057,55.6792567,12.5893052
4,109,14040,Kaffevej,2610,55.67641279999999,12.4370807
3,95,17950,Amager Strandvej,2300,55.6588319,12.6336433
1,35,7400,Gl. Køge Landevej,2500,55.6557304,12.5115847
2,70,10900,Else Sørensens Vej,2610,55.68368220000001,12.4586118
2,62,10050,Kaffevej,2610,55.6764488,12.4364167
4,97,16120,Faste Batteri Vej,2300,55.6644927,12.5914391
2,68,12500,Klareboderne,1115,55.6812487,12.5788233
4,107,18400,Bomhusvej,2100,55.72244,12.5577373
3,69,11900,Amager Landevej,2770,55.6375574,12.6189139
2,63,11050,Børge Olsens Plads,2610,55.67117589999999,12.4728844
1,35,6700,Preben Kaas' Vænge,2000,55.68412619999999,12.502215
1,14,5150,Rabarbervej,2400,55.6961805,12.5240192
3,105,15995,Havneholmen,1561,55.6601326,12.5607638
4,90,14200,Nadine Gordimers Vej,2300,55.63595669999999,12.5771978
1,43,10000,Else Alfelts Vej,2300,55.6169586,12.5663611
2,128,18536,Antonigade,1112,55.6804198,12.5810851
3,106,18700,Amager Strandvej,2300,55.6588319,12.6336433
1,47,8003,Rabarbervej,2400,55.69546219999999,12.5245579
4,123,19000,Dyrkøb,1166,55.6790029,12.5730684
5,140,16500,Dea Trier Mørchs Vej,2300,55.6364724,12.5812246
4,103,15500,Kenny Drews Vej,2450,55.6448471,12.5517397
3,107,17495,Nygade,1164,55.6781275,12.5734453
4,94,13700,Hannemanns Allé,2300,55.626185,12.5762249
1,35,7904,Svend Trøsts Vej,1912,55.67942499999998,12.5514368
3,73,12200,Rødovre Port,2610,55.66549209999999,12.4585376
4,96,16500,Else Alfelts Vej,2300,55.6194089,12.5679844
5,152,27500,Oscar Ellingers Vej,2000,55.6881132,12.5157875
3,98,13758,Jernæblevej,2500,55.66084129999999,12.5030899
1,49,8500,Nordens Plads,2000,55.67061899999998,12.501294
4,177,26560,Nytorv,1450,55.6777785,12.5734097
1,37,7800,Nordens Plads,2000,55.67107499999998,12.501987
1,28,7900,Njalsgade,2300,55.6635534,12.5909995
2,62,10050,Kaffevej,2610,55.6764488,12.4364167
4,96,13350,Robert Jacobsens Vej,2300,55.6172555,12.5728812
