,id,rooms,area,rent,latitude,longitude,rent_norm
238,5185816,1,43,7939,55.701219,12.535712,184.62790697674419
239,5205808,1,41,9000,55.705378,12.543452,219.5121951219512
240,5249770,1,45,9500,55.671264,12.514637,211.11111111111111
241,5242875,4,110,16300,55.653056,12.543546,148.1818181818182
242,5179340,3,65,13118,55.663095,12.593584,201.8153846153846
243,5117845,2,115,18820,55.661812,12.569668,163.65217391304347
244,5190072,2,79,13800,55.648375,12.553065,174.68354430379748
245,5241712,5,152,16052,55.606586,12.593683,105.60526315789474
246,5101208,3,134,19000,55.691701,12.524678,141.7910447761194
247,5270983,3,79,13332,55.656761,12.503792,168.7594936708861
248,5143981,4,86,15995,55.698748,12.53532,185.98837209302326
249,5150806,4,130,14500,55.738439,12.507797,111.53846153846153
250,5266787,3,86,12800,55.626185,12.576225,148.8372093023256
251,4992910,1,14,7000,55.6371,12.575012,500.0
252,4956190,5,195,24200,55.620428,12.572797,124.1025641025641
253,5136252,3,85,16950,55.671032,12.585607,199.41176470588235
254,3728880,2,70,13000,55.706672,12.595776,185.71428571428572
255,5263106,1,64,14500,55.668598,12.54707,226.5625
256,5208360,1,36,9500,55.663553,12.591,263.8888888888889
257,5273982,2,43,10300,55.651307,12.511187,239.53488372093022
258,5126148,2,43,9800,55.665096,12.456153,227.90697674418604
259,5262459,3,99,17900,55.703844,12.594553,180.8080808080808
260,5086692,3,91,12750,55.676421,12.436609,140.1098901098901
261,5239919,3,108,14300,55.638175,12.581597,132.40740740740742
262,5246611,4,121,21340,55.688969,12.559045,176.36363636363637
263,5247625,3,94,13900,55.706052,12.5376,147.87234042553192
264,5242795,4,102,13950,55.727318,12.474743,136.76470588235293
265,5242796,4,97,13500,55.727318,12.474743,139.17525773195877
266,5246675,3,87,11500,55.72453,12.474464,132.183908045977
267,5126124,1,28,7488,55.645948,12.63612,267.42857142857144
268,5266712,3,114,15520,55.686241,12.488985,136.140350877193
269,5208330,1,48,10000,55.616671,12.565964,208.33333333333334
270,5184525,1,35,6650,55.69618,12.524019,190.0
271,5252876,3,71,11950,55.711095,12.47929,168.30985915492957
272,5249723,1,38,10000,55.649105,12.611941,263.1578947368421
273,5272667,2,61,13800,55.667523,12.627036,226.2295081967213
274,5082596,3,107,19500,55.676761,12.531524,182.2429906542056
275,5254001,2,66,12900,55.701024,12.580537,195.45454545454547
276,5272781,2,29,10900,55.681189,12.518624,375.86206896551727
277,5127791,5,161,21627,55.675097,12.548271,134.32919254658384
278,4856955,4,117,16946,55.652386,12.511991,144.83760683760684
279,5163219,3,124,18750,55.686736,12.584134,151.20967741935485
280,5092337,2,89,12815,55.725437,12.478625,143.98876404494382
281,4992890,3,81,17000,55.689958,12.554588,209.87654320987653
282,5265261,1,12,4500,55.69289,12.547805,375.0
283,5181545,1,23,7000,55.68671,12.503927,304.3478260869565
284,5188873,1,35,8000,55.688441,12.491476,228.57142857142858
285,5272685,3,74,13400,55.639789,12.582016,181.0810810810811
286,5272824,1,26,7900,55.681189,12.518624,303.84615384615387
287,5247356,1,40,8095,55.695357,12.534754,202.375
288,5272060,3,81,13400,55.617802,12.569192,165.4320987654321
289,4813572,3,122,15800,55.664442,12.601083,129.50819672131146
290,5258838,2,71,11525,55.677018,12.435548,162.32394366197184
291,4873697,3,143,18500,55.672672,12.558478,129.37062937062936
292,5143984,3,89,13600,55.655513,12.547887,152.80898876404495
293,5239390,3,91,14000,55.637843,12.580475,153.84615384615384
294,5242873,5,147,21500,55.648393,12.553017,146.25850340136054
295,5242878,3,78,14200,55.651319,12.555321,182.05128205128204
296,5258842,4,101,15750,55.649703,12.550492,155.94059405940595
297,5273099,2,38,11800,55.681189,12.518624,310.5263157894737
298,5249728,1,17,5500,55.715727,12.47189,323.52941176470586
299,5263586,1,30,6250,55.727285,12.479933,208.33333333333334
300,5268071,4,130,28000,55.668452,12.534562,215.3846153846154
301,5273094,1,38,11900,55.681189,12.518624,313.1578947368421
302,5241113,3,93,15500,55.685697,12.615687,166.66666666666666
303,5054100,4,109,14040,55.676413,12.437081,128.80733944954127
304,5247693,2,64,12626,55.649051,12.535273,197.28125
305,5194787,3,87,14600,55.646565,12.552006,167.816091954023
306,5262447,1,41,6200,55.707601,12.531026,151.21951219512195
307,5243759,3,141,20900,55.669039,12.58068,148.22695035460993
308,5011140,4,101,14400,55.635435,12.577151,142.5742574257426
309,4856612,2,80,12826,55.656387,12.509244,160.325
310,5239424,2,59,11700,55.638214,12.58092,198.3050847457627
311,5232153,4,111,16200,55.653134,12.548116,145.94594594594594
312,5078239,3,106,18700,55.658832,12.633643,176.41509433962264
313,5083785,1,32,7334,55.705502,12.527119,229.1875
314,5248809,4,111,14617,55.676169,12.436299,131.6846846846847
315,4880219,1,14,5150,55.69618,12.524019,367.85714285714283
316,5237942,2,53,10200,55.665229,12.456205,192.45283018867926
317,5266717,2,63,11800,55.652309,12.556465,187.3015873015873
318,5273101,2,62,11700,55.622082,12.573736,188.70967741935485
319,5220336,3,95,14600,55.637796,12.581832,153.68421052631578
320,5243014,3,66,12950,55.618372,12.573111,196.21212121212122
321,5234625,2,108,17000,55.672118,12.59208,157.40740740740742
322,5266716,3,105,15995,55.660133,12.560764,152.33333333333334
323,5163222,4,95,17000,55.697442,12.538697,178.94736842105263
324,5258836,3,87,13700,55.649703,12.550492,157.4712643678161
325,5242937,4,115,16770,55.652386,12.511991,145.82608695652175
326,5271988,3,74,12000,55.71046,12.484442,162.16216216216216
327,5242850,2,83,12600,55.682748,12.455784,151.80722891566265
328,5212120,4,125,15800,55.625388,12.57149,126.4
329,5188888,1,35,6650,55.695252,12.523573,190.0
330,5074399,4,101,13752,55.626185,12.576225,136.15841584158414
331,5248001,1,37,6900,55.703754,12.537448,186.48648648648648
332,5273986,1,41,10200,55.688463,12.494303,248.78048780487805
333,5273925,1,29,7300,55.688463,12.494303,251.72413793103448
334,5266726,1,45,8000,55.655898,12.503485,177.77777777777777
335,5273943,2,32,11050,55.681189,12.518624,345.3125
336,4559159,2,68,12000,55.681249,12.578823,176.47058823529412
337,5242803,3,86,13200,55.634696,12.579943,153.48837209302326
338,5112376,3,90,13240,55.621584,12.57341,147.11111111111111
339,5270952,2,108,18500,55.673172,12.590052,171.2962962962963
340,5247696,2,63,12782,55.649051,12.535273,202.88888888888889
341,5158077,4,122,20500,55.703983,12.596326,168.0327868852459
342,5249763,1,8,4500,55.718899,12.492832,562.5
343,5239216,3,60,11700,55.727596,12.479145,195.0
344,5112511,4,90,14200,55.635957,12.577198,157.77777777777777
345,5077231,2,70,10900,55.683682,12.458612,155.71428571428572
346,5239388,2,66,13200,55.637664,12.580775,200.0
347,5242865,4,106,14900,55.682748,12.455784,140.56603773584905
348,5266704,4,117,15200,55.640331,12.582975,129.9145299145299
349,5246692,1,64,11500,55.689953,12.562738,179.6875
350,5227993,4,108,16500,55.619409,12.567984,152.77777777777777
351,5179172,3,90,13950,55.653859,12.503733,155.0
352,5242851,4,103,14850,55.682748,12.455784,144.1747572815534
353,5247624,4,102,16600,55.659681,12.512877,162.7450980392157
354,5183552,3,119,17900,55.677985,12.574255,150.42016806722688
355,5244166,6,218,34000,55.657802,12.522026,155.96330275229357
356,5118156,4,110,17250,55.65141,12.541841,156.8181818181818
357,4856927,3,107,17495,55.678128,12.573445,163.50467289719626
358,5211186,1,51,8575,55.649554,12.551497,168.13725490196077
359,5171425,4,111,17200,55.653134,12.548116,154.95495495495496
360,5194070,1,29,6150,55.727285,12.479933,212.06896551724137
361,5179338,5,192,31090,55.734451,12.573912,161.92708333333334
362,5195416,4,112,14800,55.638359,12.58366,132.14285714285714
363,5243685,3,152,25000,55.699216,12.593541,164.47368421052633
364,4933797,5,126,16379,55.621352,12.572437,129.9920634920635
365,5248586,1,37,6900,55.703754,12.537448,186.48648648648648
366,5269024,1,28,7900,55.663553,12.591,282.14285714285717
367,5248002,1,49,8000,55.703754,12.537448,163.26530612244898
368,5242860,2,74,12400,55.682748,12.455784,167.56756756756758
369,5242840,2,76,12350,55.682748,12.455784,162.5
370,5242871,3,87,13100,55.682748,12.455784,150.57471264367817
371,5081664,2,67,11050,55.671176,12.472884,164.92537313432837
372,4515306,2,69,16500,55.665198,12.533776,239.1304347826087
373,5208329,3,87,13300,55.616671,12.565964,152.8735632183908
374,5077618,6,276,38000,55.686463,12.591826,137.68115942028984
375,5113429,4,123,19000,55.679003,12.573068,154.47154471544715
376,5015732,1,43,10000,55.616959,12.566361,232.5581395348837
377,4856746,2,79,13300,55.732739,12.561723,168.35443037974684
378,5162548,4,114,16249,55.656909,12.501427,142.53508771929825
379,5262418,3,155,20000,55.607516,12.581085,129.03225806451613
380,4984281,1,47,8003,55.695462,12.524558,170.27659574468086
381,5242790,2,63,13400,55.62027,12.573462,212.6984126984127
382,5073502,3,94,17800,55.670568,12.585183,189.36170212765958
383,5185285,4,96,14000,55.626185,12.576225,145.83333333333334
384,5242869,3,101,13700,55.682748,12.455784,135.64356435643563
385,5189042,3,148,22000,55.707048,12.576113,148.64864864864865
386,4991153,4,173,28800,55.667563,12.531727,166.47398843930637
387,5242867,4,106,14800,55.682748,12.455784,139.62264150943398
388,5261951,4,200,39000,55.673645,12.545902,195.0
389,4900082,5,152,22000,55.684119,12.585351,144.73684210526315
390,5242872,3,97,13500,55.682748,12.455784,139.17525773195877
391,5202617,4,97,13300,55.727318,12.474743,137.11340206185568
392,5184615,1,32,6350,55.72722,12.47929,198.4375
393,5179307,2,194,32000,55.726972,12.577694,164.94845360824743
394,5268051,4,105,14950,55.618673,12.567705,142.38095238095238
395,5258834,1,55,8800,55.649554,12.551497,160.0
396,5027891,3,83,12600,55.676983,12.436204,151.80722891566265
397,5211185,3,88,13900,55.649703,12.550492,157.95454545454547
398,5184504,4,133,22167,55.707098,12.594016,166.66917293233084
399,5258833,5,128,18100,55.649703,12.550492,141.40625
400,5268052,4,105,14950,55.618673,12.567705,142.38095238095238
401,5112334,3,89,13800,55.65554,12.548269,155.0561797752809
402,5195418,3,88,13600,55.652309,12.556465,154.54545454545453
403,5143986,2,71,11000,55.712147,12.472082,154.92957746478874
404,5209615,1,32,7334,55.705502,12.527119,229.1875
405,5105803,5,123,16705,55.621711,12.572956,135.8130081300813
406,5262439,3,84,14000,55.660112,12.512251,166.66666666666666
407,5118157,2,62,15250,55.665578,12.533849,245.96774193548387
408,5121299,4,97,16120,55.664493,12.591439,166.18556701030928
409,5212658,3,85,12550,55.636125,12.581212,147.64705882352942
410,5217936,4,100,14100,55.711801,12.480088,141.0
411,5242847,3,109,14400,55.682748,12.455784,132.11009174311926
412,5218737,4,222,39600,55.680634,12.588782,178.3783783783784
413,5242868,3,87,13100,55.682748,12.455784,150.57471264367817
414,5239917,2,57,11700,55.638307,12.581241,205.26315789473685
415,5252431,4,102,17195,55.698748,12.53532,168.57843137254903
416,5242858,2,74,12300,55.682748,12.455784,166.21621621621622
417,5235762,4,122,16775,55.652386,12.511991,137.5
418,4985341,6,130,18800,55.657653,12.488401,144.6153846153846
419,5212077,3,104,13350,55.739646,12.487692,128.3653846153846
420,5181918,3,75,12700,55.727596,12.479145,169.33333333333334
421,5262425,4,102,13700,55.727318,12.474743,134.31372549019608
422,5242791,3,66,12950,55.62027,12.573462,196.21212121212122
423,5238514,3,70,13450,55.664906,12.611227,192.14285714285714
424,5239922,3,100,15000,55.638175,12.581597,150.0
425,5239930,3,108,14600,55.638175,12.581597,135.1851851851852
426,5121290,3,103,14717,55.662119,12.596402,142.88349514563106
427,5242861,2,74,12500,55.682748,12.455784,168.9189189189189
428,5073496,3,120,20560,55.684585,12.551257,171.33333333333334
429,5190071,2,74,12950,55.646106,12.547326,175.0
430,5184704,3,103,20900,55.668146,12.556642,202.9126213592233
431,5189646,5,120,18910,55.657128,12.509917,157.58333333333334
432,5261850,4,111,14250,55.6341,12.580702,128.3783783783784
433,5239927,3,77,12900,55.638001,12.581605,167.53246753246754
434,5239336,2,57,11700,55.638315,12.581096,205.26315789473685
435,5143240,5,109,16200,55.658039,12.512355,148.62385321100916
436,5189050,3,149,36000,55.726972,12.577694,241.61073825503357
437,5272819,1,44,9000,55.667881,12.516962,204.54545454545453
438,5237946,2,66,11800,55.665348,12.457358,178.78787878787878
439,5243716,2,84,12600,55.683006,12.456226,150.0
440,5239347,3,77,13200,55.638001,12.581605,171.42857142857142
441,5022937,4,96,16500,55.619409,12.567984,171.875
442,5044231,2,76,11700,55.688955,12.449246,153.94736842105263
443,5112331,3,102,18380,55.688602,12.559418,180.19607843137254
444,5242866,4,112,15000,55.682748,12.455784,133.92857142857142
445,5123369,3,77,18500,55.671396,12.589815,240.25974025974025
446,5112327,3,161,21000,55.672672,12.558478,130.43478260869566
447,4740047,5,191,25000,55.676207,12.575812,130.89005235602093
448,5239377,2,71,12400,55.637749,12.581051,174.64788732394365
449,5243015,3,66,13750,55.618372,12.573111,208.33333333333334
450,5121287,4,99,15786,55.660841,12.50309,159.45454545454547
451,5246678,1,42,9100,55.705378,12.543452,216.66666666666666
452,5003213,1,47,8018,55.695462,12.524558,170.59574468085106
453,5239356,2,52,12000,55.637921,12.581371,230.76923076923077
454,5239425,2,69,12700,55.638325,12.58099,184.05797101449275
455,5242833,3,90,13500,55.682748,12.455784,150.0
456,5239370,2,64,11900,55.637841,12.58114,185.9375
